Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1650412115.7415059,1,1650412115,720211728,atracsys,0.05087567520141602,-0.011328216552734376,1.3260460205078126,-0.009630394449495764,-0.03911089943596965,0.2630176486149081,0.9639498480549397
1650412115.7589283,2,1650412115,741126447,atracsys,0.05091213607788086,-0.0113350830078125,1.326040771484375,-0.009618942919525706,-0.03914344019663007,0.26302029077569833,0.963947920619652
1650412115.775158,3,1650412115,750070784,atracsys,0.05091540145874023,-0.01135211944580078,1.3260323486328125,-0.009562282940435022,-0.039208203953299416,0.2630398926576084,0.9639405035366018
1650412115.794408,4,1650412115,771033655,atracsys,0.05094503402709961,-0.011354397773742676,1.326029541015625,-0.009585183722008572,-0.03915274433949999,0.2629880218724326,0.9639566832671093
1650412115.8121493,5,1650412115,791885063,atracsys,0.05096354675292969,-0.01136394500732422,1.3260185546875,-0.009758512624794062,-0.039240715467246425,0.2629356578346867,0.9639656516287347
1650412115.8289828,6,1650412115,809835538,atracsys,0.050972892761230466,-0.011378856658935546,1.3260144042968751,-0.009659872598095889,-0.03929963180501038,0.26290087044224697,0.9639737331079556
1650412115.845472,7,1650412115,830804976,atracsys,0.05098775100708008,-0.011407922744750977,1.3260072021484375,-0.009728873822704107,-0.03930372577742536,0.26284542506833974,0.9639879919764553
1650412115.8638387,8,1650412115,839608944,atracsys,0.050987964630126954,-0.01141638469696045,1.3260096435546875,-0.009680507287829028,-0.0391879304780486,0.2628366665114689,0.9639955812246428
1650412115.8803768,9,1650412115,860557581,atracsys,0.05095762634277344,-0.011432900428771972,1.32600390625,-0.00963247136910504,-0.03912589158536531,0.2628128050561728,0.9640050879541454
1650412115.8975236,10,1650412115,872493917,atracsys,0.05092542266845703,-0.011417189598083497,1.326010986328125,-0.009621914558698737,-0.03908207341042115,0.26279662263367004,0.9640113824175024
1650412115.91319,11,1650412115,890383527,atracsys,0.05084747695922852,-0.011429983139038086,1.3259993896484374,-0.00938637989101246,-0.03884065204730094,0.2628561668413261,0.9640072277605428
1650412115.931288,12,1650412115,911320609,atracsys,0.05073023223876953,-0.011435728073120117,1.3259852294921874,-0.009367166844248438,-0.03861938593291397,0.2629128739084779,0.9640008402219686
1650412115.9470825,13,1650412115,932246404,atracsys,0.05059992599487305,-0.011417976379394531,1.32594482421875,-0.009427631218621954,-0.038343283642759705,0.2629539547173089,0.9640000674624584
1650412115.9646683,14,1650412115,941146007,atracsys,0.05053078842163086,-0.01140797519683838,1.3259359130859376,-0.009324484626042906,-0.03817158544937839,0.26298757282472685,0.9639987139983633
1650412115.979653,15,1650412115,962032677,atracsys,0.05036636734008789,-0.011384816169738769,1.3259005126953125,-0.009241976543902691,-0.037940749841508206,0.2630487879721094,0.9639919193216457
1650412115.9972131,16,1650412115,971001456,atracsys,0.0502940673828125,-0.011376888275146485,1.32588623046875,-0.009042495457709547,-0.037712801138084596,0.26312496117893175,0.9639819670049862
1650412116.013281,17,1650412115,991929318,atracsys,0.05012940216064453,-0.011369478225708008,1.3258443603515626,-0.009007108750624113,-0.03748551043834029,0.26315583497001543,0.963982735851823
1650412116.0309265,18,1650412116,12823031,atracsys,0.04996323776245117,-0.011324049949645996,1.325807861328125,-0.00910460015773602,-0.03731810824595744,0.2631812996100208,0.9639813631956228
1650412116.0469625,19,1650412116,33688482,atracsys,0.049815216064453126,-0.011268417358398437,1.32578564453125,-0.00882931053987388,-0.037179462682714715,0.2632266996030078,0.9639768853277152
1650412116.0645688,20,1650412116,42658547,atracsys,0.049741737365722655,-0.011247483253479004,1.3257744140625,-0.008714112944720829,-0.03707115036963822,0.2632539066384159,0.9639746753340933
1650412116.0785222,21,1650412116,63549177,atracsys,0.049589675903320314,-0.011233203887939453,1.325747314453125,-0.008813374449761675,-0.03685952542588595,0.2632730894135174,0.9639766492020692
1650412116.095544,22,1650412116,72474332,atracsys,0.04952336120605469,-0.011218299865722656,1.3257388916015624,-0.008790834626919956,-0.03674842656834695,0.26328985504933794,0.9639765176597466
1650412116.109886,23,1650412116,93374022,atracsys,0.04937092971801758,-0.011181774139404297,1.3257041015625,-0.008878599127551255,-0.036565715419046664,0.263286902366003,0.9639834676880825
1650412116.1276505,24,1650412116,111299420,atracsys,0.04924663925170899,-0.011141236305236817,1.325675048828125,-0.008777543390332663,-0.03652293016037558,0.2633018063320033,0.9639819443780239
1650412116.141886,25,1650412116,123193489,atracsys,0.04915814590454102,-0.011116707801818847,1.3256761474609375,-0.0088307255574695,-0.03648312442178153,0.26328877493618214,0.9639865252746834
1650412116.161539,26,1650412116,144167520,atracsys,0.04902430725097656,-0.01106820011138916,1.3256583251953125,-0.008795989882455921,-0.036317153942549196,0.2632739623501793,0.9639971554107082
1650412116.1767528,27,1650412116,153481614,atracsys,0.04896383285522461,-0.01106398105621338,1.3256436767578126,-0.008833451860606302,-0.0363158945550657,0.2632580194359376,0.964001214280127
1650412116.1973522,28,1650412116,173989701,atracsys,0.04883976364135742,-0.01102139949798584,1.3256226806640625,-0.00895198646776425,-0.03616514779994361,0.2631765111139729,0.9640280431713417
1650412116.2134821,29,1650412116,191962150,atracsys,0.048731094360351564,-0.01098664665222168,1.3255986328125,-0.008796113176980827,-0.03597008517578159,0.26309647776218986,0.964058621015628
1650412116.232738,30,1650412116,212840392,atracsys,0.04860076904296875,-0.010964065551757813,1.3255655517578124,-0.008628029936878301,-0.03578935511138835,0.26296237370773873,0.964103453564041
