rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1651014517523688843,,1,,1651014517,505314398,"""atracsys""",,,0.406007019043,0.0192618465424,1.08190869141,,-0.0596742390702,-0.298771042991,0.475600261407,0.825214663231
1651014517555499664,,2,,1651014517,547073159,"""atracsys""",,,0.406010559082,0.0192464599609,1.0819296875,,-0.0597108785587,-0.298889445281,0.475555600228,0.825194874907
1651014517589353026,,3,,1651014517,576944722,"""atracsys""",,,0.406013885498,0.019258600235,1.08193505859,,-0.0597728338527,-0.298919196779,0.475556248008,0.825179239384
1651014517622116380,,4,,1651014517,606772419,"""atracsys""",,,0.406018859863,0.019253988266,1.08192712402,,-0.0597307321758,-0.29890244484,0.475558550992,0.82518702891
1651014517656569940,,5,,1651014517,636696010,"""atracsys""",,,0.406022186279,0.0192460346222,1.08193713379,,-0.0596590960096,-0.298844651586,0.475576674068,0.825202698471
1651014517688406495,,6,,1651014517,678512880,"""atracsys""",,,0.406017089844,0.0192485103607,1.08193737793,,-0.0597656212319,-0.298838042363,0.475570557553,0.825200908715
1651014517723500616,,7,,1651014517,708351710,"""atracsys""",,,0.406015289307,0.0192464599609,1.08194311523,,-0.059798696936,-0.29892521573,0.47555631928,0.825175144099
1651014517757520866,,8,,1651014517,738168853,"""atracsys""",,,0.406015075684,0.0192633533478,1.08193200684,,-0.0597885798059,-0.298865552066,0.475581499994,0.825182976301
1651014517791528056,,9,,1651014517,776987172,"""atracsys""",,,0.406010742187,0.0192463645935,1.08192443848,,-0.0597759542935,-0.298820109014,0.475582666993,0.825199675589
1651014517824753137,,10,,1651014517,806803486,"""atracsys""",,,0.406009979248,0.0192581214905,1.08193249512,,-0.0597164391172,-0.298851639123,0.475575278447,0.825196824535
1651014517857266476,,11,,1651014517,836639052,"""atracsys""",,,0.406009460449,0.0192519779205,1.0819185791,,-0.0597815674598,-0.29879457084,0.475596660168,0.825200451687
1651014517890642079,,12,,1651014517,878448530,"""atracsys""",,,0.406005889893,0.0192493572235,1.08192504883,,-0.0597729346624,-0.29884589769,0.475581146321,0.825191431717
1651014517922638281,,13,,1651014517,908334764,"""atracsys""",,,0.406009643555,0.0192552165985,1.08193884277,,-0.0596860756579,-0.298806947744,0.47560176274,0.825199941609
1651014517957763883,,14,,1651014517,950141082,"""atracsys""",,,0.406008758545,0.0192340869904,1.08194592285,,-0.059643642959,-0.298856246048,0.475577802331,0.8251989663
1651014517990459927,,15,,1651014517,979966679,"""atracsys""",,,0.4060078125,0.0192453346252,1.0819552002,,-0.0596609567166,-0.298855814839,0.475580603506,0.825196256505
1651014518025310098,,16,,1651014518,9874420,"""atracsys""",,,0.406011108398,0.0192441654205,1.08194445801,,-0.0595840816924,-0.298831972348,0.475585918607,0.825207382138
1651014518059206419,,17,,1651014518,39653796,"""atracsys""",,,0.406013702393,0.0192356338501,1.08193945312,,-0.0596661764786,-0.298847595513,0.475586641558,0.825195375903
1651014518089835293,,18,,1651014518,78478288,"""atracsys""",,,0.406009033203,0.0192400588989,1.08194396973,,-0.0596083907759,-0.298916224796,0.47554510644,0.825198631873
1651014518122753108,,19,,1651014518,108317559,"""atracsys""",,,0.406007904053,0.0192326450348,1.08192687988,,-0.0595518821376,-0.298900223564,0.475564485541,0.825197339901
1651014518157722728,,20,,1651014518,141136950,"""atracsys""",,,0.406006622314,0.0192619342804,1.0819230957,,-0.0596698125737,-0.298917160715,0.475557439137,0.825186746488
1651014518190483772,,21,,1651014518,179993442,"""atracsys""",,,0.406001281738,0.019233007431,1.08192468262,,-0.0596427224148,-0.298904780885,0.475544059477,0.825200899856
1651014518223918691,,22,,1651014518,209826626,"""atracsys""",,,0.406001739502,0.0192466449738,1.08193249512,,-0.0596454479256,-0.298922707191,0.475534603396,0.825199658653
1651014518256455525,,23,,1651014518,239652192,"""atracsys""",,,0.406004364014,0.0192564048767,1.08192651367,,-0.0595625528807,-0.298832329483,0.475562246032,0.825222449585
1651014518290501037,,24,,1651014518,281458130,"""atracsys""",,,0.406003082275,0.0192346801758,1.08194995117,,-0.0595665876211,-0.29885431848,0.475561343868,0.8252147152
1651014518324206048,,25,,1651014518,311357864,"""atracsys""",,,0.406007141113,0.0192523155212,1.08196008301,,-0.0595399858444,-0.298844423351,0.475552695406,0.82522520236
1651014518358671970,,26,,1651014518,341177783,"""atracsys""",,,0.406011749268,0.0192328453064,1.08195959473,,-0.0595387607403,-0.298914361072,0.475538057608,0.825208395789
1651014518393864864,,27,,1651014518,379962931,"""atracsys""",,,0.406010986328,0.0192582111359,1.08197241211,,-0.0596408076435,-0.298906464988,0.47554127547,0.825202032582
1651014518423413923,,28,,1651014518,412861422,"""atracsys""",,,0.406011138916,0.0192462692261,1.0819744873,,-0.0596479814625,-0.298853140993,0.475568930779,0.825204890014
1651014518459419438,,29,,1651014518,442680556,"""atracsys""",,,0.406011016846,0.0192345542908,1.0819753418,,-0.0596641191586,-0.298859550522,0.475576723146,0.825196911257
1651014518490810303,,30,,1651014518,481501134,"""atracsys""",,,0.406005859375,0.0192606830597,1.08195861816,,-0.0597453374448,-0.298931895922,0.475559227391,0.825174913274
1651014518522885362,,31,,1651014518,511297177,"""atracsys""",,,0.406003051758,0.0192392482758,1.08195336914,,-0.0598038909421,-0.298891128773,0.475577050353,0.825175167432
1651014518558115830,,32,,1651014518,541189022,"""atracsys""",,,0.406003265381,0.0192605934143,1.0819486084,,-0.0597949749121,-0.298959263092,0.475551125523,0.825166072376
1651014518591249171,,33,,1651014518,571003069,"""atracsys""",,,0.406003265381,0.0192564620972,1.08193762207,,-0.059681577769,-0.298920069087,0.475550711771,0.825188719086
1651014518624993876,,34,,1651014518,612809960,"""atracsys""",,,0.406000732422,0.0192389278412,1.0819486084,,-0.0596803203756,-0.29882158387,0.475584660042,0.825204914859
1651014518658177693,,35,,1651014518,642672688,"""atracsys""",,,0.4060027771,0.0192626113892,1.08195153809,,-0.0596864828713,-0.29881079594,0.475572155847,0.825215581879
1651014518691544487,,36,,1651014518,672478694,"""atracsys""",,,0.406003936768,0.0192396202087,1.08194519043,,-0.0597325430691,-0.298783728292,0.47560686553,0.825202045845
1651014518724346749,,37,,1651014518,714292556,"""atracsys""",,,0.406001586914,0.0192581138611,1.08194555664,,-0.0596572495519,-0.298723257884,0.475619346132,0.82522219151
1651014518760198315,,38,,1651014518,744134391,"""atracsys""",,,0.406004272461,0.0192528839111,1.08193017578,,-0.0596113230456,-0.298686924665,0.475632033011,0.825231349606
